num_types,hp,attack,defense,sp_attack,sp_defense,speed,base_stat_total,height_m,weight_kg,base_experience,color,shape,habitat,growth_rate,is_legendary,is_mythical,is_baby,capture_rate,base_happiness,hatch_counter,gender_rate,is_dual_type,bmi,attack_defense_ratio,physical_total,special_total,offensive_total,defensive_total,stat_tier,generation_num,type_bug,type_dark,type_dragon,type_electric,type_fairy,type_fighting,type_fire,type_flying,type_ghost,type_grass,type_ground,type_ice,type_normal,type_poison,type_psychic,type_rock,type_steel,type_water
2,-0.9461392067024389,-0.9581410242859807,-0.8030462187667665,-0.17140033315227912,-0.1955152427771038,-0.7729566721597938,-0.9731281251233505,-0.41008884458029365,-0.49570648179805565,64,green,quadruped,grassland,medium-slow,0,0,0,45,70,20,1,True,14.1,1.0,98,130,159,159,Below Average (300-399),1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2,-0.382612039155759,-0.5214306036049239,-0.32478461929371805,0.33460583470799216,0.3678368669863843,-0.25036712752865053,-0.20127477271538832,-0.16961912736358836,-0.4453822376194589,142,green,quadruped,grassland,medium-slow,0,0,0,45,70,20,1,True,13.0,0.98,125,160,202,203,Average (400-499),1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2,0.3687575175731477,0.1504315820582404,0.3584462370963512,1.009280725188354,1.1189730133377018,0.44641893197954047,0.8633505409507665,0.6319465966920959,0.272356982632659,236,green,quadruped,grassland,medium-slow,0,0,0,45,70,20,1,True,25.0,0.99,165,200,262,263,Strong (500-599),1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,-1.1715500737211109,-0.8573616964365061,-1.0080154756837874,-0.34006905577236957,-0.7588673525405919,-0.07617061265160277,-1.0529750236483122,-0.49024541698586205,-0.48250668004629255,62,red,upright,mountain,medium-slow,0,0,0,45,70,20,1,False,23.6,1.21,95,110,177,132,Below Average (300-399),1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,-0.4577489948286496,-0.4542443850386075,-0.4955923333912354,0.33460583470799216,-0.1955152427771038,0.44641893197954047,-0.20127477271538832,-0.08946255495801986,-0.3958829810503473,142,red,upright,mountain,medium-slow,0,0,0,45,70,20,1,False,15.7,1.1,122,145,224,181,Average (400-499),1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2,0.29362056190025704,0.21761780062455682,0.18763852299883388,1.3128844259045167,0.5556209035742137,1.1432049914877314,0.943197439475728,0.39147687947539056,0.19398315973156566,240,red,upright,mountain,medium-slow,0,0,0,45,70,20,1,True,31.3,1.08,162,194,293,241,Strong (500-599),1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,-0.9837076845388842,-0.9917341335691389,-0.25646153365471114,-0.6774065010125504,-0.2330720500946697,-0.8426352781106129,-1.008615635578889,-0.5704019893914305,-0.47838174199886657,63,blue,upright,waters-edge,medium-slow,0,0,0,45,70,20,1,False,36.0,0.74,113,114,141,173,Below Average (300-399),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,-0.42018051699220427,-0.48783749432176565,0.2559616086378408,-0.17140033315227912,0.3678368669863843,-0.32004573347946963,-0.20127477271538832,-0.16961912736358836,-0.36700841471836554,142,blue,upright,waters-edge,medium-slow,0,0,0,45,70,20,1,False,22.5,0.79,143,145,186,219,Average (400-499),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0.3311890397367024,0.1840246913413986,0.9391924650279101,0.5032745573280826,1.3067570499255312,0.3767403260287214,0.9077099290201895,0.3113203070698222,0.15273377925730602,239,blue,upright,waters-edge,medium-slow,0,0,0,45,70,20,1,False,33.4,0.83,183,190,246,284,Strong (500-599),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,-0.9461392067024389,-1.5964101006659868,-1.281307818239815,-1.6894188367330931,-1.885571572067568,-0.7729566721597938,-2.064369071631159,-0.7307151342025673,-0.5287059861774633,39,green,armor,forest,medium,0,0,0,255,70,15,4,False,32.2,0.86,65,40,95,100,Weak (<300),1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,-0.7582968175202123,-1.932341193497569,-0.5980769618497458,-1.5207501141130026,-1.6977875354797387,-1.295546216790937,-1.975650295492313,-0.41008884458029365,-0.47095685351349986,72,green,squiggle,forest,medium,0,0,0,120,70,15,4,False,20.2,0.36,75,50,75,130,Weak (<300),1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,-0.382612039155759,-1.0925134614186136,-0.7688846759472631,0.671943279948173,0.3678368669863843,0.09802590222544498,-0.28999354885423456,-0.08946255495801986,-0.2886345918172722,178,white,bug-wings,forest,medium,0,0,0,45,70,15,4,True,26.4,0.9,95,170,205,190,Below Average (300-399),1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
