pokedex_id,num_types,hp,attack,defense,sp_attack,sp_defense,speed,base_stat_total,height_m,weight_kg,base_experience,capture_rate,base_happiness,hatch_counter,gender_rate,bmi,attack_defense_ratio,physical_total,special_total,offensive_total,defensive_total,type_bug,type_dark,type_dragon,type_electric,type_fairy,type_fighting,type_fire,type_flying,type_ghost,type_grass,type_ground,type_ice,type_normal,type_poison,type_psychic,type_rock,type_steel,type_water
1,2,-0.9461392067024389,-0.9581410242859807,-0.8030462187667665,-0.17140033315227912,-0.1955152427771038,-0.7729566721597938,318,0.7,6.9,64,45,70,20,1,14.1,1.0,98,130,159,159,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2,2,-0.382612039155759,-0.5214306036049239,-0.32478461929371805,0.33460583470799216,0.3678368669863843,-0.25036712752865053,405,1.0,13.0,142,45,70,20,1,13.0,0.98,125,160,202,203,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
3,2,0.3687575175731477,0.1504315820582404,0.3584462370963512,1.009280725188354,1.1189730133377018,0.44641893197954047,525,2.0,100.0,236,45,70,20,1,25.0,0.99,165,200,262,263,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
4,1,-1.1715500737211109,-0.8573616964365061,-1.0080154756837874,-0.34006905577236957,-0.7588673525405919,-0.07617061265160277,309,0.6,8.5,62,45,70,20,1,23.6,1.21,95,110,177,132,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
5,1,-0.4577489948286496,-0.4542443850386075,-0.4955923333912354,0.33460583470799216,-0.1955152427771038,0.44641893197954047,405,1.1,19.0,142,45,70,20,1,15.7,1.1,122,145,224,181,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
6,2,0.29362056190025704,0.21761780062455682,0.18763852299883388,1.3128844259045167,0.5556209035742137,1.1432049914877314,534,1.7,90.5,240,45,70,20,1,31.3,1.08,162,194,293,241,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
7,1,-0.9837076845388842,-0.9917341335691389,-0.25646153365471114,-0.6774065010125504,-0.2330720500946697,-0.8426352781106129,314,0.5,9.0,63,45,70,20,1,36.0,0.74,113,114,141,173,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8,1,-0.42018051699220427,-0.48783749432176565,0.2559616086378408,-0.17140033315227912,0.3678368669863843,-0.32004573347946963,405,1.0,22.5,142,45,70,20,1,22.5,0.79,143,145,186,219,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
9,1,0.3311890397367024,0.1840246913413986,0.9391924650279101,0.5032745573280826,1.3067570499255312,0.3767403260287214,530,1.6,85.5,239,45,70,20,1,33.4,0.83,183,190,246,284,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
10,1,-0.9461392067024389,-1.5964101006659868,-1.281307818239815,-1.6894188367330931,-1.885571572067568,-0.7729566721597938,195,0.3,2.9,39,255,70,15,4,32.2,0.86,65,40,95,100,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,1,-0.7582968175202123,-1.932341193497569,-0.5980769618497458,-1.5207501141130026,-1.6977875354797387,-1.295546216790937,205,0.7,9.9,72,120,70,15,4,20.2,0.36,75,50,75,130,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,2,-0.382612039155759,-1.0925134614186136,-0.7688846759472631,0.671943279948173,0.3678368669863843,0.09802590222544498,395,1.1,32.0,178,45,70,15,4,26.4,0.9,95,170,205,190,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13,2,-1.1339815958846655,-1.4284445542501958,-1.4521155323373323,-1.6894188367330931,-1.885571572067568,-0.598760157282746,195,0.3,3.2,39,255,70,15,4,35.6,1.17,65,40,105,90,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,2,-0.9461392067024389,-1.7643756470817777,-0.7688846759472631,-1.5207501141130026,-1.6977875354797387,-1.1213497019138892,205,0.6,10.0,72,120,70,15,4,27.8,0.5,75,50,85,120,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,2,-0.1947696499735323,0.4191764563235061,-1.1105001041422977,-0.8460752236326409,0.3678368669863843,0.27222241710249273,395,1.0,29.5,178,45,70,15,4,29.5,2.25,130,125,210,185,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,2,-1.1339815958846655,-1.0925134614186136,-1.1105001041422977,-1.1834126688728217,-1.32221946230408,-0.3897243394302887,251,0.3,1.8,50,255,70,15,4,20.0,1.12,85,70,136,115,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
17,2,-0.26990660564642294,-0.5886168221712403,-0.5980769618497458,-0.6774065010125504,-0.7588673525405919,0.13286520520085454,349,1.1,30.0,122,120,70,15,4,24.8,1.09,115,100,181,168,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
18,2,0.48146295108248366,0.08324536349192396,0.08515389454032349,-0.0027316105321886944,-0.0077312061892744425,1.178044294463141,479,1.5,39.5,216,45,70,15,4,17.6,1.07,155,140,251,228,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
